City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,mount gambier,-37.8333,140.7667,13.850000000000023,89,1,2.47,AU,2024-02-01
238,coquimbo,-29.9533,-71.3436,21.0,77,75,5.14,CL,2024-02-01
239,vershino-darasunskiy,52.35,115.5167,-28.930000000000007,99,15,1.42,RU,2024-02-01
240,newnham,-41.3833,147.1333,14.680000000000007,44,3,5.66,AU,2024-02-01
241,port lincoln,-34.7333,135.8667,15.829999999999984,88,1,3.36,AU,2024-02-01
242,saint augustine beach,29.8505,-81.2654,18.519999999999982,67,0,3.09,US,2024-02-01
243,goynuk,40.4003,30.7883,-0.19999999999998863,79,3,1.17,TR,2024-02-01
244,tomatlan,19.9333,-105.25,32.79000000000002,38,29,3.38,MX,2024-02-01
245,lu-uk,5.9684,121.3122,25.370000000000005,88,100,0.65,PH,2024-02-01
246,sukuta,13.4103,-16.7082,31.160000000000025,27,100,0.0,GM,2024-02-01
247,nantucket,41.2835,-70.0995,4.639999999999986,70,100,5.66,US,2024-02-01
248,greenville,35.6127,-77.3663,13.240000000000009,54,0,2.06,US,2024-02-01
249,tual,-5.6667,132.75,28.680000000000007,79,100,7.91,ID,2024-02-01
250,laascaanood,8.4774,47.3597,24.019999999999982,21,98,2.4,SO,2024-02-01
251,sabang,5.8933,95.3214,27.569999999999993,79,98,5.09,ID,2024-02-01
252,iwata,34.7,137.85,5.160000000000025,52,90,6.26,JP,2024-02-01
253,ajdabiya,30.7554,20.2263,13.550000000000011,49,96,4.87,LY,2024-02-01
254,ketchikan,55.3422,-131.6461,11.139999999999986,87,100,2.06,US,2024-02-01
255,novaya igirma,57.1334,103.9112,-33.00999999999999,100,71,0.82,RU,2024-02-01
256,sitka,57.0531,-135.33,2.089999999999975,60,100,5.66,US,2024-02-01
257,zmeinogorsk,51.1567,82.195,-7.350000000000023,90,100,2.22,RU,2024-02-01
258,korla,41.7597,86.1469,-4.5400000000000205,71,100,1.98,CN,2024-02-01
259,sao sebastiao,-23.76,-45.4097,26.870000000000005,79,95,2.43,BR,2024-02-01
260,al fuwayliq,26.4432,43.2534,10.519999999999982,39,0,6.52,SA,2024-02-01
261,l'govskiy,51.6307,35.2775,1.1100000000000136,93,100,6.28,RU,2024-02-01
262,petrodvorets,59.885,29.8958,2.180000000000007,100,100,8.3,RU,2024-02-01
263,twon-brass,4.3151,6.2418,28.110000000000014,83,100,5.04,NG,2024-02-01
264,papao,-17.75,-149.55,29.970000000000027,75,93,6.32,PF,2024-02-01
265,wagar,16.1525,36.2032,22.55000000000001,13,5,8.17,SD,2024-02-01
266,champerico,14.3,-91.9167,33.44999999999999,65,14,4.89,GT,2024-02-01
267,cristalina,-16.7686,-47.6136,19.74000000000001,86,99,1.68,BR,2024-02-01
268,loango,-4.6719,11.8312,26.95999999999998,89,20,1.54,CG,2024-02-01
269,santa isabel,-23.3156,-46.2214,27.75999999999999,76,100,3.16,BR,2024-02-01
270,darab,28.7519,54.5444,12.920000000000016,80,5,2.78,IR,2024-02-01
271,ambodifotatra,-16.9833,49.85,27.430000000000007,80,63,9.03,MG,2024-02-01
272,anadyr,64.75,177.4833,-17.569999999999993,85,100,3.0,RU,2024-02-01
273,luanda,-8.8368,13.2343,26.149999999999977,89,40,1.03,AO,2024-02-01
274,borogontsy,62.6683,131.1683,-37.879999999999995,100,80,1.48,RU,2024-02-01
275,lianzhou,24.7811,112.3825,12.930000000000007,91,100,2.72,CN,2024-02-01
276,burang,30.25,81.1667,-18.710000000000008,97,52,2.1,CN,2024-02-01
277,alvaraes,-3.2208,-64.8042,28.079999999999984,76,89,2.06,BR,2024-02-01
278,yamba,-5.9,22.3,21.99000000000001,83,100,1.18,CD,2024-02-01
279,chestertown,39.209,-76.0666,11.949999999999989,69,18,4.36,US,2024-02-01
280,kidal,18.4411,1.4078,20.55000000000001,15,8,4.52,ML,2024-02-01
281,olyokminsk,60.3736,120.4264,-26.310000000000002,100,100,1.31,RU,2024-02-01
282,strezhevoy,60.7333,77.5889,-18.090000000000003,100,100,1.66,RU,2024-02-01
283,akureyri,65.6835,-18.0878,4.110000000000014,65,40,10.29,IS,2024-02-01
284,cabedelo,-6.9811,-34.8339,31.519999999999982,66,30,5.22,BR,2024-02-01
285,kajaani,64.2273,27.7285,-1.8199999999999932,74,75,11.83,FI,2024-02-01
286,udachny,66.4167,112.4,-29.819999999999993,100,96,2.12,RU,2024-02-01
287,hartsville,34.374,-80.0734,14.879999999999995,52,0,3.6,US,2024-02-01
288,moron,-34.6534,-58.6198,38.93000000000001,32,18,0.45,AR,2024-02-01
289,castillos,-34.1667,-53.8333,30.319999999999993,39,0,4.69,UY,2024-02-01
290,sinabang,2.4803,96.3801,27.44999999999999,80,83,1.91,ID,2024-02-01
291,sikonge,-5.6333,32.7667,18.870000000000005,90,98,0.7,TZ,2024-02-01
292,alofi,-19.0595,-169.9187,25.389999999999986,92,100,7.01,NU,2024-02-01
